"base_asset_id","base_exchange_symbol","candidate_ids","mapping_status","approved_coingecko_id","decision_basis","evidence_note"
"DUCK","DUCK","appduck-by-virtuals|dlp-duck-token|duckchain-token|duckcoin|duck-token|lemonade-stand-duck|the-duck","APPROVED","duckchain-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: appduck-by-virtuals:0|dlp-duck-token:0|duckchain-token:2|duckcoin:0|duck-token:0|lemonade-stand-duck:0|the-duck:0"
"DYDX","DYDX","dydx-chain|dydx-wormhole","APPROVED","dydx-chain","KRAKEN_ASSET_PAGE_CHAIN_IDENTITY","Kraken identifies DYDX as dYdX operating on its own blockchain; selects AF-002 dydx-chain rather than Wormhole representation. Source: https://www.kraken.com/prices/dydx"
"DYM","DYM","dymension","APPROVED","dymension","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: dymension:2"
"EDGE","EDGE","definitive|edge|edge-2|edgex","APPROVED","definitive","ADJUDICATED_KRAKEN_TEMPORAL_IDENTITY","Kraken Definitive/EDGE listed 2025-03-28; Kraken edgeX listed 2026-05-05 under EDGEX, after Q2."
"EGLD","EGLD","elrond-erd-2","APPROVED","elrond-erd-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: elrond-erd-2:2"
"EIGEN","EIGEN","eigenlayer","APPROVED","eigenlayer","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: eigenlayer:2"
"ELX","ELX","elixir-finance","APPROVED","elixir-finance","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: elixir-finance:1"
"ENA","ENA","ethena","APPROVED","ethena","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: ethena:2"
"ENJ","ENJ","enjincoin","APPROVED","enjincoin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: enjincoin:2"
"ENS","ENS","ethereum-name-service","APPROVED","ethereum-name-service","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: ethereum-name-service:2"
"EOS","EOS","binance-peg-eos|eos","APPROVED","eos","KRAKEN_ASSET_PAGE_CANONICAL_TICKER","Kraken identifies canonical EOS (EOS); selects AF-002 eos rather than Binance-Peg EOS. Source: https://www.kraken.com/prices/eos"
"ESX","ESX","estatex","APPROVED","estatex","KRAKEN_MICA_HISTORY_NAME_TICKER","Kraken historical registry preserves EstateX (ESX); AF-002 candidate matches. Source: https://www.kraken.com/legal/mica-whitepapers/history"
"ETHFI","ETHFI","ether-fi","APPROVED","ether-fi","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: ether-fi:2"
"ETHW","ETHW","ethereum-pow-iou","APPROVED","ethereum-pow-iou","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies EthereumPoW (ETHW); AF-002 candidate matches. Source: https://blog.kraken.com/product/asset-listings/ethereumpow-ethw-trading-starts-now-token-distribution"
"EUL","EUL","euler","APPROVED","euler","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: euler:2"
"EUROP","EUROP","schuman-europ","APPROVED","schuman-europ","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: schuman-europ:2"
"EURQ","EURQ","quantoz-eurq","APPROVED","quantoz-eurq","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: quantoz-eurq:2"
"EURR","EURR","stablr-euro","APPROVED","stablr-euro","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Stablr Euro (EURR); capitalization variation is non-semantic. Source: https://www.kraken.com/prices/stablr-euro"
"EWT","EWT","energy-web-token|ishares-msci-taiwan-etf-robinhood-token","APPROVED","energy-web-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: energy-web-token:2|ishares-msci-taiwan-etf-robinhood-token:0"
"FARM","FARM","farm-2|farmtown|harvest-finance|this-is-a-farm","APPROVED","harvest-finance","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies Harvest Finance (FARM); selects AF-002 harvest-finance. Source: https://blog.kraken.com/product/asset-listings/trading-for-ens-and-farm-starts-now-for-usa-and-ca"
"FARTCOIN","FARTCOIN","based-fartcoin|fartcoin","APPROVED","fartcoin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: based-fartcoin:0|fartcoin:3"
"FET","FET","fetch-ai","APPROVED","fetch-ai","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: fetch-ai:2"
"FHE","FHE","mind-network","APPROVED","mind-network","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Mind Network (FHE); AF-002 candidate matches. Source: https://www.kraken.com/prices/mind-network"
"FIDA","FIDA","bonfida","APPROVED","bonfida","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: bonfida:2"
"FIL","FIL","binance-peg-filecoin|filecoin","APPROVED","filecoin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: binance-peg-filecoin:0|filecoin:2"
"FIS","FIS","fidelity-national-information-services-dinari-tokenized-stock|stafi","APPROVED","stafi","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: fidelity-national-information-services-dinari-tokenized-stock:0|stafi:2"
"FLOKI","FLOKI","floki","APPROVED","floki","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: floki:1"
"FLOW","FLOW","flow|flow-agent|flow-state|pulsechain-flow|robinflow|stake-flow","APPROVED","flow","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: flow:2|flow-agent:0|flow-state:0|pulsechain-flow:0|robinflow:0|stake-flow:0"
"FLR","FLR","flare-networks","APPROVED","flare-networks","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: flare-networks:2"
"FLUX","FLUX","flux|zelcash","APPROVED","zelcash","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: flux:0|zelcash:2"
"FLY","FLY","firefly-aerospace-inc-robinhood-token|fly-2|franklin|hyperfly","APPROVED","fly-2","KRAKEN_PROJECT_PLUS_COINGECKO_CANONICAL_ID","Kraken identifies FLY as the native token of Fly.trade in the Sonic ecosystem; CoinGecko fly-2 points to app.fly.trade and the same FLY project. Source: https://blog.kraken.com/product/asset-listings/fly-is-available-for-trading Secondary source: https://www.coingecko.com/en/coins/fly-2"
"FORTH","FORTH","ampleforth-governance-token","APPROVED","ampleforth-governance-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: ampleforth-governance-token:2"
"FWOG","FWOG","based-fwog|fwog","APPROVED","fwog","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: based-fwog:0|fwog:2"
"FXS","FXS","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"G","G","giants-protocol|g-token","APPROVED","g-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: giants-protocol:0|g-token:1"
"GAL","GAL","galatasaray-fan-token|one-unchill-gal|project-galaxy","APPROVED","project-galaxy","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies Galxe (GAL); AF-002 project-galaxy is the Galxe candidate and records its later Gravity migration. Source: https://blog.kraken.com/product/trading-for-c98-gal-rpl-stg-and-syn-starts-september-29-deposit-now"
"GALA","GALA","gala","APPROVED","gala","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: gala:2"
"GARI","GARI","gari-network","APPROVED","gari-network","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Gari Network (GARI); AF-002 candidate matches. Source: https://www.kraken.com/prices/gari-network"
"GFI","GFI","goldfinch|gravity-finance","APPROVED","goldfinch","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: goldfinch:2|gravity-finance:0"
"GHIBLI","GHIBLI","ghiblicz|ghiblification","APPROVED","ghiblification","KRAKEN_MICA_WHITEPAPER_NAME_TICKER","Kraken whitepaper identifies Ghiblification (GHIBLI); AF-002 candidate matches. Source: https://assets-cms.kraken.com/files/51n36hrp/facade/3f5b5a99f699fa914a3dfa8d3603cedaab515ce3.pdf"
"GHST","GHST","aavegotchi","APPROVED","aavegotchi","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aavegotchi:2"
"GIGA","GIGA","gigachad-2|gigaswap","APPROVED","gigachad-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: gigachad-2:2|gigaswap:0"
"GLMR","GLMR","moonbeam","APPROVED","moonbeam","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: moonbeam:1"
"GMT","GMT","stepn","APPROVED","stepn","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: stepn:2"
"GMX","GMX","gmx","APPROVED","gmx","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: gmx:2"
"GNO","GNO","gnosis|linea-bridged-gno-linea","APPROVED","gnosis","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: gnosis:1|linea-bridged-gno-linea:0"
"GOAT","GOAT","absolute-goat|goatcoin-2|goatseus-maximus|goatseus-maximus-on-eth|goat-trading|greatestofavaxtrenches|sonic-the-goat|wild-goat-coin-2-2","APPROVED","goatseus-maximus","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: absolute-goat:0|goatcoin-2:0|goatseus-maximus:2|goatseus-maximus-on-eth:0|goat-trading:0|greatestofavaxtrenches:0|sonic-the-goat:0|wild-goat-coin-2-2:0"
"GRASS","GRASS","grass|grass-2","APPROVED","grass","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: grass:1|grass-2:0"
"GRIFFAIN","GRIFFAIN","griffain","APPROVED","griffain","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: griffain:2"
"GRT","GRT","the-graph","APPROVED","the-graph","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: the-graph:2"
"GST","GST","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"GTC","GTC","gitcoin|global-trust-coin|gtech-coin","APPROVED","gitcoin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: gitcoin:2|global-trust-coin:0|gtech-coin:0"
"GUN","GUN","gunz","APPROVED","gunz","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: gunz:2"
"HDX","HDX","home-depot-xstock|hydradx","APPROVED","hydradx","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: home-depot-xstock:0|hydradx:2"
"HFT","HFT","hashflow","APPROVED","hashflow","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: hashflow:2"
"HIPPO","HIPPO","sudeng","APPROVED","sudeng","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies sudeng (HIPPO); AF-002 candidate matches. Source: https://www.kraken.com/prices/sudeng"
"HMSTR","HMSTR","hamster-kombat","APPROVED","hamster-kombat","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: hamster-kombat:2"
"HNT","HNT","helium","APPROVED","helium","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: helium:1"
"HONEY","HONEY","hivemapper|honey-3","APPROVED","hivemapper","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: hivemapper:2|honey-3:0"
"HPOS10I","HPOS10I","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"ICP","ICP","internet-computer","APPROVED","internet-computer","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: internet-computer:2"
"ICX","ICX","icon","APPROVED","icon","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies ICON (ICX); AF-002 candidate matches. Source: https://www.kraken.com/prices/icon"
"IDEX","IDEX","aurora-dao","APPROVED","aurora-dao","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aurora-dao:2"
"IMX","IMX","immutable-x","APPROVED","immutable-x","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: immutable-x:2"
"INIT","INIT","init|initia","APPROVED","initia","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: init:0|initia:1"
"INJ","INJ","injective-protocol","APPROVED","injective-protocol","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: injective-protocol:2"
"INTR","INTR","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"IP","IP","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"JAILSTOOL","JAILSTOOL","stool-prisondente","APPROVED","stool-prisondente","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly listed Stool Prisondente (JAILSTOOL); AF-002 candidate matches. Source: https://blog.kraken.com/product/asset-listings/jailstool-is-available-for-trading"
"JASMY","JASMY","jasmycoin","APPROVED","jasmycoin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: jasmycoin:2"
"JITOSOL","JITOSOL","jito-staked-sol","APPROVED","jito-staked-sol","KRAKEN_MICA_WHITEPAPER_NAME_TICKER","Kraken whitepaper identifies Jito Staked SOL (JITOSOL); AF-002 candidate matches. Source: https://assets-cms.kraken.com/files/51n36hrp/facade/21cd74d7f7c63e8dfaaabb3b29549fbaa7f59028.pdf"
"JST","JST","just","APPROVED","just","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: just:2"
"JTO","JTO","jito-governance-token","APPROVED","jito-governance-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: jito-governance-token:2"
"JUNO","JUNO","juno-agent|junocash|juno-network","APPROVED","juno-network","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: juno-agent:0|junocash:0|juno-network:2"
"JUP","JUP","jupiter|jupiter-exchange-solana","APPROVED","jupiter-exchange-solana","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: jupiter:0|jupiter-exchange-solana:2"
"K","K","sidekick","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"KAITO","KAITO","kaito","APPROVED","kaito","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: kaito:1"
"KAR","KAR","karura","APPROVED","karura","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies Karura (KAR); AF-002 candidate matches. Source: https://blog.kraken.com/news/karura-kar-trading-starts-july-20-deposit-now"
"KAS","KAS","kaspa","APPROVED","kaspa","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: kaspa:2"
"KAVA","KAVA","kava","APPROVED","kava","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: kava:2"
"KERNEL","KERNEL","kernel-2","APPROVED","kernel-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: kernel-2:2"
"KEY","KEY","key-2|selfkey","APPROVED","selfkey","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies SelfKey (KEY); selects AF-002 selfkey. Source: https://blog.kraken.com/product/trading-for-btt-dent-key-and-unfi-starts-july-1-deposit-now"
"KILT","KILT","kilt-protocol-2","APPROVED","kilt-protocol-2","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","AF-002 points to CoinGecko historical KILT record; Kraken historical listing identifies the same KILT Protocol ticker. Source: https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca"
"KIN","KIN","kin|kindred-labs","APPROVED","kin","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Kin (KIN); selects AF-002 kin over Kindred Labs. Source: https://www.kraken.com/prices/kin"
"KINT","KINT","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"KMNO","KMNO","kamino","APPROVED","kamino","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: kamino:2"
"KNC","KNC","kyber-network-crystal","APPROVED","kyber-network-crystal","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: kyber-network-crystal:1"
"KOBAN","KOBAN","koban","APPROVED","koban","KRAKEN_MICA_PROJECT_TICKER","Kraken whitepaper identifies Lucky Cat (KOBAN); AF-002 candidate id koban has exact KOBAN ticker. Source: https://assets-cms.kraken.com/files/51n36hrp/facade/7a760107f3bc2f673a3ddbdba5c28b542d18092b.pdf"
"KP3R","KP3R","keep3rv1","APPROVED","keep3rv1","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Keep3R/Keep3r Network (KP3R); AF-002 candidate Keep3rV1 has the same protocol ticker and candidate id lineage. Source: https://www.kraken.com/prices/keep3r"
"KSM","KSM","kusama","APPROVED","kusama","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: kusama:3"
"L3","L3","layer3","APPROVED","layer3","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: layer3:1"
"LAYER","LAYER","solayer|unilayer","APPROVED","solayer","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: solayer:1|unilayer:0"
"LCX","LCX","lcx","APPROVED","lcx","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: lcx:2"
"LDO","LDO","lido-dao|linea-bridged-ldo-linea","APPROVED","lido-dao","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: lido-dao:2|linea-bridged-ldo-linea:0"
"LINK","LINK","chainlink|linea-bridged-link-linea|osmosis-alllink","APPROVED","chainlink","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: chainlink:7|linea-bridged-link-linea:0|osmosis-alllink:0"
"LIT","LIT","lighter|lit|litentry|timeless","APPROVED","litentry","ADJUDICATED_KRAKEN_TEMPORAL_IDENTITY","Kraken LIT identifies Litentry; Lighter uses Kraken ticker LIGHTER and its token generation postdates Q2 2025."
"LMWR","LMWR","limewire-token","APPROVED","limewire-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: limewire-token:2"
"LOCKIN","LOCKIN","lock-in","APPROVED","lock-in","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies LOCK IN (LOCKIN); AF-002 candidate matches. Source: https://www.kraken.com/prices/lock-in"
"LOFI","LOFI","lofi-2","APPROVED","lofi-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: lofi-2:1"
"LPT","LPT","livepeer","APPROVED","livepeer","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Livepeer (LPT); AF-002 candidate matches. Source: https://www.kraken.com/prices/livepeer"
"LQTY","LQTY","liquity","APPROVED","liquity","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: liquity:2"
"LRC","LRC","loopring","APPROVED","loopring","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: loopring:2"
"LSETH","LSETH","liquid-staked-ethereum","APPROVED","liquid-staked-ethereum","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: liquid-staked-ethereum:2"
"LSK","LSK","lisk","APPROVED","lisk","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: lisk:2"
"LUNA","LUNA","luna-by-virtuals|terra-luna-2","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"LUNA2","LUNA2","","APPROVED","terra-luna-2","KRAKEN_PROJECT_PLUS_COINGECKO_REFERENCE","Kraken identifies Terra 2.0 native token LUNA2; CoinGecko reference evidence uniquely matches Terra to terra-luna-2 / LUNA. Source: https://www.kraken.com/prices/terra-2.0 Secondary source: candidate-analysis/CFA-Stage2-Expanded-CoinGecko-Candidates.csv"
"MANA","MANA","decentraland|decentraland-wormhole|meme-anarchic-numismatic-asset","APPROVED","decentraland","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: decentraland:4|decentraland-wormhole:0|meme-anarchic-numismatic-asset:0"
"MASK","MASK","catwifmask|mask-network","APPROVED","mask-network","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: catwifmask:0|mask-network:2"
"MAT","MAT","matchain|my-master-war","APPROVED","matchain","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies Matchain (MAT); selects AF-002 matchain. Source: https://blog.kraken.com/product/asset-listings/mat-is-available-for-trading"
"MC","MC","magic-crystal|marketcat|merit-circle|merry-christmas","APPROVED","merit-circle","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Merit Circle (MC); selects AF-002 Merit Circle. Source: https://www.kraken.com/prices/merit-circle"
"ME","ME","literally-me|magic-eden","APPROVED","magic-eden","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Magic Eden (ME); selects AF-002 magic-eden. Source: https://www.kraken.com/prices/magic-eden"
"MELANIA","MELANIA","melania-meme","APPROVED","melania-meme","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: melania-meme:4"
"MEME","MEME","1-meme-can-change-your-life|memecoin-2|memetoon|most-elegant-monkey-ever|mpx6900","APPROVED","memecoin-2","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: 1-meme-can-change-your-life:0|memecoin-2:2|memetoon:0|most-elegant-monkey-ever:0|mpx6900:0"
"METH","METH","mantle-staked-ether|mirrored-ether","APPROVED","mantle-staked-ether","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: mantle-staked-ether:2|mirrored-ether:0"
"METIS","METIS","medusa-metis|metis-token","APPROVED","metis-token","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: medusa-metis:0|metis-token:1"
"MEW","MEW","cat-in-a-dogs-world","APPROVED","cat-in-a-dogs-world","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: cat-in-a-dogs-world:1"
"MICHI","MICHI","michi","APPROVED","michi","KRAKEN_MICA_HISTORY_NAME_TICKER","Kraken historical registry preserves Michi (MICHI); AF-002 candidate matches ignoring case. Source: https://www.kraken.com/legal/mica-whitepapers/history"
"MINA","MINA","mina-protocol","APPROVED","mina-protocol","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: mina-protocol:3"
"MIR","MIR","mirror-chain|mirror-protocol|mir-token","APPROVED","mirror-protocol","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: mirror-chain:0|mirror-protocol:2|mir-token:0"
"MKR","MKR","maker","APPROVED","maker","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Maker (MKR); AF-002 candidate matches. Source: https://www.kraken.com/prices/maker"
"MNGO","MNGO","mango-markets","APPROVED","mango-markets","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Mango Markets (MNGO); AF-002 candidate ID is mango-markets and name variant Mango. Source: https://www.kraken.com/prices/mango-markets"
"MNT","MNT","mantle|mundoteam","APPROVED","mantle","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: mantle:2|mundoteam:0"
"MOG","MOG","based-mog-coin|mog|mog-cat|mog-coin","APPROVED","mog-coin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: based-mog-coin:0|mog:0|mog-cat:0|mog-coin:2"
"MOODENG","MOODENG","moo-deng|moo-deng-2","APPROVED","moo-deng","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: moo-deng:1|moo-deng-2:0"
"MOON","MOON","black-unicorn-corp|honeymoon-token|just-mooncoin|lightspeed-to-the-moon|millionaire-out-of-nowhere|moon|moon-2|moon-3|moon-4|moonbase-2|moon-bay-2|mooncoin-4|moonflow|moon-inu|moon-moon","APPROVED","moon","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly identifies r/CryptoCurrency Moons (MOON); selects AF-002 moon. Source: https://blog.kraken.com/product/asset-listings/brick-and-moon-trading-starts-today-on-spot-and-futures"
"MORPHO","MORPHO","morpho|morpho-2","APPROVED","morpho","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: morpho:2|morpho-2:0"
"MOVE","MOVE","moveapp|movement","APPROVED","movement","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Movement (MOVE); selects AF-002 movement. Source: https://www.kraken.com/prices/movement"
"MOVR","MOVR","moonriver","APPROVED","moonriver","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: moonriver:2"
