"base_asset_id","base_exchange_symbol","quote_exchange_symbols","candidate_count","candidate_ids","active_candidate_ids","kraken_pair_bridge_candidate_ids","kraken_pair_bridge_counts","cfa_independent_review_decision","approved_candidate_id"
"FARM","FARM","EUR|USD","4","farm-2|farmtown|harvest-finance|this-is-a-farm","","","farm-2:0|farmtown:0|harvest-finance:0|this-is-a-farm:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"FARTCOIN","FARTCOIN","EUR|USD|USDC|USDT","2","based-fartcoin|fartcoin","","fartcoin","based-fartcoin:0|fartcoin:3","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","fartcoin"
"FET","FET","EUR|USD","1","fetch-ai","","fetch-ai","fetch-ai:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","fetch-ai"
"FHE","FHE","EUR|USD","1","mind-network","","","mind-network:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"FIDA","FIDA","EUR|USD","1","bonfida","","bonfida","bonfida:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","bonfida"
"FIL","FIL","ETH|EUR|GBP|USD|XBT","2","binance-peg-filecoin|filecoin","","filecoin","binance-peg-filecoin:0|filecoin:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","filecoin"
"FIS","FIS","EUR|USD","2","fidelity-national-information-services-dinari-tokenized-stock|stafi","","stafi","fidelity-national-information-services-dinari-tokenized-stock:0|stafi:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","stafi"
"FLOKI","FLOKI","EUR|USD","1","floki","","floki","floki:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","floki"
"FLOW","FLOW","EUR|USD","6","flow|flow-agent|flow-state|pulsechain-flow|robinflow|stake-flow","","flow","flow:2|flow-agent:0|flow-state:0|pulsechain-flow:0|robinflow:0|stake-flow:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","flow"
"FLR","FLR","EUR|USD","1","flare-networks","","flare-networks","flare-networks:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","flare-networks"
"FLUX","FLUX","EUR|USD","2","flux|zelcash","","zelcash","flux:0|zelcash:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","zelcash"
"FLY","FLY","EUR|USD","4","firefly-aerospace-inc-robinhood-token|fly-2|franklin|hyperfly","","","firefly-aerospace-inc-robinhood-token:0|fly-2:0|franklin:0|hyperfly:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"FORTH","FORTH","EUR|USD","1","ampleforth-governance-token","","ampleforth-governance-token","ampleforth-governance-token:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ampleforth-governance-token"
"FWOG","FWOG","EUR|USD","2","based-fwog|fwog","","fwog","based-fwog:0|fwog:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","fwog"
"FXS","FXS","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"G","G","EUR|USD","2","giants-protocol|g-token","","g-token","giants-protocol:0|g-token:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","g-token"
"GAL","GAL","EUR|USD","3","galatasaray-fan-token|one-unchill-gal|project-galaxy","","","galatasaray-fan-token:0|one-unchill-gal:0|project-galaxy:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"GALA","GALA","EUR|USD","1","gala","","gala","gala:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","gala"
"GARI","GARI","EUR|USD","1","gari-network","","","gari-network:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"GFI","GFI","EUR|USD","2","goldfinch|gravity-finance","","goldfinch","goldfinch:2|gravity-finance:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","goldfinch"
"GHIBLI","GHIBLI","EUR|USD","2","ghiblicz|ghiblification","","","ghiblicz:0|ghiblification:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"GHST","GHST","EUR|USD","1","aavegotchi","","aavegotchi","aavegotchi:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aavegotchi"
"GIGA","GIGA","EUR|USD","2","gigachad-2|gigaswap","","gigachad-2","gigachad-2:2|gigaswap:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","gigachad-2"
"GLMR","GLMR","EUR|USD","1","moonbeam","","moonbeam","moonbeam:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","moonbeam"
"GMT","GMT","EUR|USD","1","stepn","","stepn","stepn:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","stepn"
"GMX","GMX","EUR|USD","1","gmx","","gmx","gmx:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","gmx"
"GNO","GNO","EUR|USD","2","gnosis|linea-bridged-gno-linea","","gnosis","gnosis:1|linea-bridged-gno-linea:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","gnosis"
"GOAT","GOAT","EUR|USD","8","absolute-goat|goatcoin-2|goatseus-maximus|goatseus-maximus-on-eth|goat-trading|greatestofavaxtrenches|sonic-the-goat|wild-goat-coin-2-2","","goatseus-maximus","absolute-goat:0|goatcoin-2:0|goatseus-maximus:2|goatseus-maximus-on-eth:0|goat-trading:0|greatestofavaxtrenches:0|sonic-the-goat:0|wild-goat-coin-2-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","goatseus-maximus"
"GRASS","GRASS","EUR|USD","2","grass|grass-2","","grass","grass:1|grass-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","grass"
"GRIFFAIN","GRIFFAIN","EUR|USD","1","griffain","","griffain","griffain:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","griffain"
"GRT","GRT","EUR|GBP|USD|XBT","1","the-graph","","the-graph","the-graph:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","the-graph"
"GST","GST","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"GTC","GTC","EUR|USD","3","gitcoin|global-trust-coin|gtech-coin","","gitcoin","gitcoin:2|global-trust-coin:0|gtech-coin:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","gitcoin"
"GUN","GUN","EUR|USD","1","gunz","","gunz","gunz:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","gunz"
"HDX","HDX","EUR|USD","2","home-depot-xstock|hydradx","","hydradx","home-depot-xstock:0|hydradx:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","hydradx"
"HFT","HFT","EUR|USD","1","hashflow","","hashflow","hashflow:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","hashflow"
"HIPPO","HIPPO","EUR|USD","1","sudeng","","","sudeng:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"HMSTR","HMSTR","EUR|USD","1","hamster-kombat","","hamster-kombat","hamster-kombat:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","hamster-kombat"
"HNT","HNT","EUR|USD","1","helium","","helium","helium:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","helium"
"HONEY","HONEY","EUR|USD","2","hivemapper|honey-3","","hivemapper","hivemapper:2|honey-3:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","hivemapper"
"HPOS10I","HPOS10I","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ICP","ICP","EUR|USD","1","internet-computer","","internet-computer","internet-computer:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","internet-computer"
"ICX","ICX","EUR|USD","1","icon","","","icon:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"IDEX","IDEX","EUR|USD","1","aurora-dao","","aurora-dao","aurora-dao:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aurora-dao"
"IMX","IMX","EUR|USD","1","immutable-x","","immutable-x","immutable-x:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","immutable-x"
"INIT","INIT","EUR|USD","2","init|initia","","initia","init:0|initia:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","initia"
"INJ","INJ","EUR|USD","1","injective-protocol","","injective-protocol","injective-protocol:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","injective-protocol"
"INTR","INTR","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"IP","IP","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"JAILSTOOL","JAILSTOOL","EUR|USD","1","stool-prisondente","","","stool-prisondente:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"JASMY","JASMY","EUR|USD","1","jasmycoin","","jasmycoin","jasmycoin:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","jasmycoin"
"JITOSOL","JITOSOL","EUR|SOL|USD","1","jito-staked-sol","","","jito-staked-sol:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"JST","JST","EUR|USD","1","just","","just","just:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","just"
"JTO","JTO","EUR|USD","1","jito-governance-token","","jito-governance-token","jito-governance-token:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","jito-governance-token"
"JUNO","JUNO","EUR|USD","3","juno-agent|junocash|juno-network","","juno-network","juno-agent:0|junocash:0|juno-network:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","juno-network"
"JUP","JUP","EUR|USD","2","jupiter|jupiter-exchange-solana","","jupiter-exchange-solana","jupiter:0|jupiter-exchange-solana:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","jupiter-exchange-solana"
"K","K","EUR|USD","1","sidekick","","","sidekick:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KAITO","KAITO","EUR|USD","1","kaito","","kaito","kaito:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","kaito"
"KAR","KAR","EUR|USD","1","karura","","","karura:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KAS","KAS","EUR|USD","1","kaspa","","kaspa","kaspa:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","kaspa"
"KAVA","KAVA","EUR|USD","1","kava","","kava","kava:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","kava"
"KERNEL","KERNEL","EUR|USD","1","kernel-2","","kernel-2","kernel-2:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","kernel-2"
"KEY","KEY","EUR|USD","2","key-2|selfkey","","","key-2:0|selfkey:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KILT","KILT","EUR|USD","1","kilt-protocol-2","","","kilt-protocol-2:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KIN","KIN","EUR|USD","2","kin|kindred-labs","","","kin:0|kindred-labs:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KINT","KINT","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KMNO","KMNO","EUR|USD","1","kamino","","kamino","kamino:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","kamino"
"KNC","KNC","EUR|USD","1","kyber-network-crystal","","kyber-network-crystal","kyber-network-crystal:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","kyber-network-crystal"
"KOBAN","KOBAN","EUR|USD","1","koban","","","koban:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KP3R","KP3R","EUR|USD","1","keep3rv1","","","keep3rv1:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"KSM","KSM","EUR|GBP|USD","1","kusama","","kusama","kusama:3","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","kusama"
"L3","L3","EUR|USD","1","layer3","","layer3","layer3:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","layer3"
"LAYER","LAYER","EUR|USD","2","solayer|unilayer","","solayer","solayer:1|unilayer:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","solayer"
"LCX","LCX","EUR|USD","1","lcx","","lcx","lcx:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","lcx"
"LDO","LDO","EUR|USD","2","lido-dao|linea-bridged-ldo-linea","","lido-dao","lido-dao:2|linea-bridged-ldo-linea:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","lido-dao"
"LINK","LINK","AUD|ETH|EUR|GBP|JPY|USD|USDC|USDT|XBT","3","chainlink|linea-bridged-link-linea|osmosis-alllink","","chainlink","chainlink:7|linea-bridged-link-linea:0|osmosis-alllink:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","chainlink"
"LIT","LIT","EUR|USD","4","lighter|lit|litentry|timeless","","lighter|litentry","lighter:1|lit:0|litentry:2|timeless:0","UNVERIFIED_MULTIPLE_KRAKEN_PAIR_BRIDGES",""
"LMWR","LMWR","EUR|USD","1","limewire-token","","limewire-token","limewire-token:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","limewire-token"
"LOCKIN","LOCKIN","EUR|USD","1","lock-in","","","lock-in:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"LOFI","LOFI","EUR|USD","1","lofi-2","","lofi-2","lofi-2:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","lofi-2"
"LPT","LPT","EUR|USD","1","livepeer","","","livepeer:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"LQTY","LQTY","EUR|USD","1","liquity","","liquity","liquity:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","liquity"
"LRC","LRC","EUR|USD","1","loopring","","loopring","loopring:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","loopring"
"LSETH","LSETH","ETH|EUR|USD","1","liquid-staked-ethereum","","liquid-staked-ethereum","liquid-staked-ethereum:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","liquid-staked-ethereum"
"LSK","LSK","EUR|USD","1","lisk","","lisk","lisk:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","lisk"
"LUNA","LUNA","EUR|USD","2","luna-by-virtuals|terra-luna-2","","","luna-by-virtuals:0|terra-luna-2:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"LUNA2","LUNA2","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MANA","MANA","EUR|USD|USDC|USDT|XBT","3","decentraland|decentraland-wormhole|meme-anarchic-numismatic-asset","","decentraland","decentraland:4|decentraland-wormhole:0|meme-anarchic-numismatic-asset:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","decentraland"
"MASK","MASK","EUR|USD","2","catwifmask|mask-network","","mask-network","catwifmask:0|mask-network:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","mask-network"
"MAT","MAT","EUR|USD","2","matchain|my-master-war","","","matchain:0|my-master-war:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MC","MC","EUR|USD","4","magic-crystal|marketcat|merit-circle|merry-christmas","","","magic-crystal:0|marketcat:0|merit-circle:0|merry-christmas:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ME","ME","EUR|USD","2","literally-me|magic-eden","","","literally-me:0|magic-eden:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MELANIA","MELANIA","EUR|USD|USDC|USDT","1","melania-meme","","melania-meme","melania-meme:4","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","melania-meme"
"MEME","MEME","EUR|USD","5","1-meme-can-change-your-life|memecoin-2|memetoon|most-elegant-monkey-ever|mpx6900","","memecoin-2","1-meme-can-change-your-life:0|memecoin-2:2|memetoon:0|most-elegant-monkey-ever:0|mpx6900:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","memecoin-2"
"METH","METH","ETH|USD","2","mantle-staked-ether|mirrored-ether","","mantle-staked-ether","mantle-staked-ether:2|mirrored-ether:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","mantle-staked-ether"
"METIS","METIS","EUR|USD","2","medusa-metis|metis-token","","metis-token","medusa-metis:0|metis-token:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","metis-token"
"MEW","MEW","EUR|USD","1","cat-in-a-dogs-world","","cat-in-a-dogs-world","cat-in-a-dogs-world:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cat-in-a-dogs-world"
"MICHI","MICHI","EUR|USD","1","michi","","","michi:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MINA","MINA","EUR|GBP|USD|XBT","1","mina-protocol","","mina-protocol","mina-protocol:3","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","mina-protocol"
"MIR","MIR","EUR|USD","3","mirror-chain|mirror-protocol|mir-token","","mirror-protocol","mirror-chain:0|mirror-protocol:2|mir-token:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","mirror-protocol"
"MKR","MKR","EUR|USD|XBT","1","maker","","","maker:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MNGO","MNGO","EUR|USD","1","mango-markets","","","mango-markets:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MNT","MNT","EUR|USD","2","mantle|mundoteam","","mantle","mantle:2|mundoteam:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","mantle"
"MOG","MOG","EUR|USD","4","based-mog-coin|mog|mog-cat|mog-coin","","mog-coin","based-mog-coin:0|mog:0|mog-cat:0|mog-coin:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","mog-coin"
"MOODENG","MOODENG","EUR|USD","2","moo-deng|moo-deng-2","","moo-deng","moo-deng:1|moo-deng-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","moo-deng"
"MOON","MOON","EUR|USD","15","black-unicorn-corp|honeymoon-token|just-mooncoin|lightspeed-to-the-moon|millionaire-out-of-nowhere|moon|moon-2|moon-3|moon-4|moonbase-2|moon-bay-2|mooncoin-4|moonflow|moon-inu|moon-moon","","","black-unicorn-corp:0|honeymoon-token:0|just-mooncoin:0|lightspeed-to-the-moon:0|millionaire-out-of-nowhere:0|moon:0|moon-2:0|moon-3:0|moon-4:0|moonbase-2:0|moon-bay-2:0|mooncoin-4:0|moonflow:0|moon-inu:0|moon-moon:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MORPHO","MORPHO","EUR|USD","2","morpho|morpho-2","","morpho","morpho:2|morpho-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","morpho"
"MOVE","MOVE","EUR|USD","2","moveapp|movement","","","moveapp:0|movement:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MOVR","MOVR","EUR|USD","1","moonriver","","moonriver","moonriver:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","moonriver"
"MSOL","MSOL","EUR|USD","1","msol","","","msol:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MUBARAK","MUBARAK","EUR|USD","2","mubarak|mubarak-sol","","mubarak","mubarak:1|mubarak-sol:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","mubarak"
"MULTI","MULTI","EUR|USD","2","multichain|multichain-bsc","","multichain","multichain:2|multichain-bsc:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","multichain"
"MV","MV","EUR|USD","1","gensokishis-metaverse","","","gensokishis-metaverse:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"MXC","MXC","EUR|USD","1","mxc","","","mxc:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"NANO","NANO","EUR|USD","1","nanopay","","","nanopay:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"NEAR","NEAR","EUR|USD","3","binance-peg-near-protocol|near|rainbow-bridged-near-ethereum","","near","binance-peg-near-protocol:0|near:2|rainbow-bridged-near-ethereum:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","near"
"NEIRO","NEIRO","EUR|USD","5","neiro|neiro-2|neiro-3|neiro-4|neiro-on-tron","","neiro-3","neiro:0|neiro-2:0|neiro-3:1|neiro-4:0|neiro-on-tron:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","neiro-3"
"NIL","NIL","EUR|USD","1","nillion","","nillion","nillion:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","nillion"
"NMR","NMR","EUR|USD","1","numeraire","","numeraire","numeraire:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","numeraire"
"NODL","NODL","EUR|USD","1","nodle-network","","","nodle-network:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"NOS","NOS","EUR|USD","1","nosana","","nosana","nosana:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","nosana"
"NOT","NOT","EUR|USD","2","notcoin|nothing-3","","notcoin","notcoin:2|nothing-3:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","notcoin"
"NPC","NPC","EUR|USD","4","non-playable-character|non-playable-coin|npc|npc-2","","non-playable-coin","non-playable-character:0|non-playable-coin:2|npc:0|npc-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","non-playable-coin"
"NTRN","NTRN","EUR|USD","1","neutron-3","","","neutron-3:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"NYM","NYM","EUR|USD","1","nym","","","nym:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"OCEAN","OCEAN","EUR|USD","2","ocean-2|ocean-protocol","","ocean-protocol","ocean-2:0|ocean-protocol:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ocean-protocol"
"ODOS","ODOS","EUR|USD","1","odos","","odos","odos:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","odos"
"OGN","OGN","EUR|USD","1","origin-protocol","","origin-protocol","origin-protocol:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","origin-protocol"
"OM","OM","EUR|USD","0","","","","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"OMG","OMG","EUR|USD","2","oh-my-god|omisego","","omisego","oh-my-god:0|omisego:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","omisego"
"OMNI","OMNI","EUR|USD","6","omni-2|omnicat|omni-exchange-token|omni-launch|omni-network|omnis-genesis-by-virtuals","","","omni-2:0|omnicat:0|omni-exchange-token:0|omni-launch:0|omni-network:0|omnis-genesis-by-virtuals:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ONDO","ONDO","EUR|USD","1","ondo-finance","","ondo-finance","ondo-finance:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ondo-finance"
"OP","OP","EUR|USD","2","one-path|optimism","","optimism","one-path:0|optimism:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","optimism"
"ORCA","ORCA","EUR|USD","1","orca","","orca","orca:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","orca"
"ORDER","ORDER","EUR|USD","2","order-3|orderly-network","","","order-3:0|orderly-network:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"OSMO","OSMO","EUR|USD","1","osmosis","","osmosis","osmosis:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","osmosis"
"OXT","OXT","EUR|USD","1","orchid-protocol","","orchid-protocol","orchid-protocol:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","orchid-protocol"
"OXY","OXY","EUR|USD","1","oxygen","","","oxygen:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"PAXG","PAXG","ETH|EUR|USD|XBT","1","pax-gold","","pax-gold","pax-gold:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","pax-gold"
"PDA","PDA","EUR|USD","1","playdapp","","","playdapp:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"PENDLE","PENDLE","EUR|USD","1","pendle","","pendle","pendle:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","pendle"
"PENGU","PENGU","EUR|USD|USDC|USDT","1","pudgy-penguins","","pudgy-penguins","pudgy-penguins:4","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","pudgy-penguins"
"PEPE","PEPE","AUD|CAD|EUR|GBP|USD","21","baby-pepe-5|based-pepe|el-sapo-pepe|next-gen-pepe|pepe|pepe-0x69-on-base|pepe-2|pepebrc|pepecoin-on-sol|pepecoin-on-solana|pepe-cto|pepe-gold|pepe-in-hood|pepe-king-prawn|pepe-on-solana|pepesol|pepe-sol|pepe-solana|pepe-token|pepewifhood|the-chosen-frog","","pepe","baby-pepe-5:0|based-pepe:0|el-sapo-pepe:0|next-gen-pepe:0|pepe:4|pepe-0x69-on-base:0|pepe-2:0|pepebrc:0|pepecoin-on-sol:0|pepecoin-on-solana:0|pepe-cto:0|pepe-gold:0|pepe-in-hood:0|pepe-king-prawn:0|pepe-on-solana:0|pepesol:0|pepe-sol:0|pepe-solana:0|pepe-token:0|pepewifhood:0|the-chosen-frog:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","pepe"
"PERP","PERP","EUR|USD","2","perpetual-protocol|perpolator","","perpetual-protocol","perpetual-protocol:2|perpolator:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","perpetual-protocol"
"PHA","PHA","EUR|USD","1","pha","","pha","pha:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","pha"
"PLUME","PLUME","EUR|USD","1","plume","","plume","plume:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","plume"
"PNUT","PNUT","EUR|USD","4","peanut-3|peanut-the-squirrel|pnut|pnut-the-squirrel","","peanut-the-squirrel","peanut-3:0|peanut-the-squirrel:2|pnut:0|pnut-the-squirrel:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","peanut-the-squirrel"
"POL","POL","EUR|USD","4","anubis-bridged-pol-anubis|katana-bridged-pol-katana|polygon-ecosystem-token|proof-of-liquidity","","polygon-ecosystem-token","anubis-bridged-pol-anubis:0|katana-bridged-pol-katana:0|polygon-ecosystem-token:2|proof-of-liquidity:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","polygon-ecosystem-token"
"POLIS","POLIS","EUR|USD","2","polis|star-atlas-dao","","star-atlas-dao","polis:0|star-atlas-dao:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","star-atlas-dao"
"POLS","POLS","EUR|USD","1","polkastarter","","polkastarter","polkastarter:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","polkastarter"
"POND","POND","EUR|USD","1","marlin","","marlin","marlin:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","marlin"
"PONKE","PONKE","EUR|USD","1","ponke","","ponke","ponke:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","ponke"
